X,Y,Z,formation
900.0,1100.0,181.183,Limestone
900.0,1400.0,208.682,Limestone
900.0,1700.0,244.612,Limestone
1400.0,200.0,243.438,Limestone
1400.0,500.0,228.555,Limestone
1400.0,800.0,189.665,Limestone
1400.0,1100.0,174.783,Limestone
1400.0,1400.0,202.282,Limestone
1400.0,1700.0,238.212,Limestone
1600.0,200.0,193.477,Limestone
1600.0,500.0,178.594,Limestone
1600.0,800.0,139.704,Limestone
1600.0,1100.0,124.822,Limestone
1600.0,1400.0,152.321,Limestone
1600.0,1700.0,188.251,Limestone
1800.0,200.0,70.78,Limestone
1800.0,500.0,55.897,Limestone
1800.0,1700.0,65.554,Limestone
1213.208,200.0,150.0,Main_Fault
1143.262,200.0,300.0,Main_Fault
1073.315,200.0,450.0,Main_Fault
1003.369,200.0,600.0,Main_Fault
933.423,200.0,750.0,Main_Fault
863.477,200.0,900.0,Main_Fault
1213.208,500.0,150.0,Main_Fault
1143.262,500.0,300.0,Main_Fault
1073.315,500.0,450.0,Main_Fault
1003.369,500.0,600.0,Main_Fault
933.423,500.0,750.0,Main_Fault
863.477,500.0,900.0,Main_Fault
1213.208,800.0,150.0,Main_Fault
1143.262,800.0,300.0,Main_Fault
1073.315,800.0,450.0,Main_Fault
1003.369,800.0,600.0,Main_Fault
933.423,800.0,750.0,Main_Fault
863.477,800.0,900.0,Main_Fault
1213.208,1100.0,150.0,Main_Fault
1143.262,1100.0,300.0,Main_Fault
1073.315,1100.0,450.0,Main_Fault
1003.369,1100.0,600.0,Main_Fault
933.423,1100.0,750.0,Main_Fault
863.477,1100.0,900.0,Main_Fault
1213.208,1400.0,150.0,Main_Fault
1143.262,1400.0,300.0,Main_Fault
1073.315,1400.0,450.0,Main_Fault
1003.369,1400.0,600.0,Main_Fault
933.423,1400.0,750.0,Main_Fault
863.477,1400.0,900.0,Main_Fault
1213.208,1700.0,150.0,Main_Fault
1143.262,1700.0,300.0,Main_Fault
1073.315,1700.0,450.0,Main_Fault
1003.369,1700.0,600.0,Main_Fault
933.423,1700.0,750.0,Main_Fault
863.477,1700.0,900.0,Main_Fault
